Path to db: D:\Programm\main_util_c\main_util_c\lichess_db_standard_rated_2013-05(1).pgn
Name/nick-name of player (suspect): all_for_science
Path to engine: D:\Programm\stockfish_15_win_x64_popcnt\stockfish_15_x64_popcnt.exe
Engine: Count of CPU threads: 4
Engine: Count of lines: 4
Engine: Hash size: 3072 MB
Engine: Move time: 2 sec
Search (filter): Type of games: Blitz
Search (filter): Min rating: 1700
Search(filter): Max rating:  1900
Search(filter): Max count of moves: 150
Search(filter): Max count of games: 80

{8_p, X_n, X_b, 0_r, 0_q}: accuracy = 56.518150, count = 303
{8_p, X_n, X_b, 0_r, X_q}: accuracy = 56.518150, count = 303
{8_p, X_n, X_b, 2_r, 1_q}: accuracy = 53.371708, count = 152
{8_p, X_n, X_b, 2_r, X_q}: accuracy = 53.371708, count = 152
{8_p, X_n, X_b, 3_r, 2_q}: accuracy = 48.250000, count = 150
{8_p, X_n, X_b, 3_r, X_q}: accuracy = 48.250000, count = 150
{8_p, X_n, X_b, 4_r, 0_q}: accuracy = 52.017403, count = 316
{8_p, X_n, X_b, 4_r, 1_q}: accuracy = 52.631580, count = 57
{8_p, X_n, X_b, 4_r, 2_q}: accuracy = 47.903225, count = 155
{8_p, X_n, X_b, 4_r, X_q}: accuracy = 50.875950, count = 528
{8_p, X_n, X_b, X_r, 0_q}: accuracy = 54.220516, count = 619
{8_p, X_n, X_b, X_r, 1_q}: accuracy = 53.169857, count = 209
{8_p, X_n, X_b, X_r, 2_q}: accuracy = 48.073772, count = 305
{8_p, X_n, X_b, X_r, X_q}: accuracy = 52.372021, count = 1133
{9_p, 0_n, 1_b, 0_r, 0_q}: accuracy = 52.467110, count = 152
{9_p, 0_n, 1_b, 0_r, X_q}: accuracy = 52.467110, count = 152
{9_p, 0_n, 1_b, X_r, 0_q}: accuracy = 52.467110, count = 152
{9_p, 0_n, 1_b, X_r, X_q}: accuracy = 52.467110, count = 152
{9_p, 0_n, X_b, 0_r, 0_q}: accuracy = 52.467110, count = 152
{9_p, 0_n, X_b, 0_r, X_q}: accuracy = 52.467110, count = 152
{9_p, 0_n, X_b, X_r, 0_q}: accuracy = 52.467110, count = 152
{9_p, 0_n, X_b, X_r, X_q}: accuracy = 52.467110, count = 152
{9_p, 1_n, 1_b, 0_r, 0_q}: accuracy = 55.483871, count = 155
{9_p, 1_n, 1_b, 0_r, X_q}: accuracy = 55.483871, count = 155
{9_p, 1_n, 1_b, 4_r, 0_q}: accuracy = 50.405842, count = 154
{9_p, 1_n, 1_b, 4_r, X_q}: accuracy = 50.405842, count = 154
{9_p, 1_n, 1_b, X_r, 0_q}: accuracy = 52.953075, count = 309
{9_p, 1_n, 1_b, X_r, X_q}: accuracy = 52.953075, count = 309
{9_p, 1_n, 2_b, 4_r, 0_q}: accuracy = 56.209679, count = 155
{9_p, 1_n, 2_b, 4_r, X_q}: accuracy = 56.209679, count = 155
{9_p, 1_n, 2_b, X_r, 0_q}: accuracy = 56.209679, count = 155
{9_p, 1_n, 2_b, X_r, X_q}: accuracy = 56.209679, count = 155
{9_p, 1_n, X_b, 0_r, 0_q}: accuracy = 55.483871, count = 155
{9_p, 1_n, X_b, 0_r, X_q}: accuracy = 55.483871, count = 155
