Path to db: D:\Programm\main_util_c\main_util_c\lichess_db_standard_rated_2013-05(1).pgn
Name/nick-name of player (suspect): all_for_science
Path to engine: D:\Programm\stockfish_15_win_x64_popcnt\stockfish_15_x64_popcnt.exe
Engine: Count of CPU threads: 4
Engine: Count of lines: 4
Engine: Hash size: 3072 MB
Engine: Move time: 2 sec
Search (filter): Type of games: Blitz
Search (filter): Min rating: 1700
Search(filter): Max rating:  1900
Search(filter): Max count of moves: 150
Search(filter): Max count of games: 80

{7_p, X_n, 0_b, 2_r, X_q}: accuracy = 80.000000, count = 5
{7_p, X_n, 0_b, X_r, 1_q}: accuracy = 68.750000, count = 8
{7_p, X_n, 0_b, X_r, X_q}: accuracy = 68.750000, count = 8
{7_p, X_n, 1_b, 0_r, 0_q}: accuracy = 100.000000, count = 4
{7_p, X_n, 1_b, 0_r, X_q}: accuracy = 100.000000, count = 4
{7_p, X_n, 1_b, 4_r, 0_q}: accuracy = 75.000000, count = 2
{7_p, X_n, 1_b, 4_r, X_q}: accuracy = 75.000000, count = 2
{7_p, X_n, 1_b, X_r, 0_q}: accuracy = 91.666672, count = 6
{7_p, X_n, 1_b, X_r, X_q}: accuracy = 91.666672, count = 6
{7_p, X_n, X_b, 0_r, 0_q}: accuracy = 100.000000, count = 4
{7_p, X_n, X_b, 0_r, 1_q}: accuracy = 50.000000, count = 3
{7_p, X_n, X_b, 0_r, X_q}: accuracy = 78.571426, count = 7
{7_p, X_n, X_b, 2_r, 1_q}: accuracy = 80.000000, count = 5
{7_p, X_n, X_b, 2_r, X_q}: accuracy = 80.000000, count = 5
{7_p, X_n, X_b, 4_r, 0_q}: accuracy = 75.000000, count = 2
{7_p, X_n, X_b, 4_r, X_q}: accuracy = 75.000000, count = 2
{7_p, X_n, X_b, X_r, 0_q}: accuracy = 91.666672, count = 6
{7_p, X_n, X_b, X_r, 1_q}: accuracy = 68.750000, count = 8
{7_p, X_n, X_b, X_r, X_q}: accuracy = 78.571426, count = 14
{8_p, 0_n, 0_b, 2_r, 1_q}: accuracy = 27.083334, count = 6
{8_p, 0_n, 0_b, 2_r, X_q}: accuracy = 27.083334, count = 6
{8_p, 0_n, 0_b, 3_r, 2_q}: accuracy = 100.000000, count = 3
{8_p, 0_n, 0_b, 3_r, X_q}: accuracy = 100.000000, count = 3
{8_p, 0_n, 0_b, 4_r, 0_q}: accuracy = 54.166668, count = 3
{8_p, 0_n, 0_b, 4_r, X_q}: accuracy = 54.166668, count = 3
{8_p, 0_n, 0_b, X_r, 0_q}: accuracy = 54.166668, count = 3
{8_p, 0_n, 0_b, X_r, 1_q}: accuracy = 27.083334, count = 6
{8_p, 0_n, 0_b, X_r, 2_q}: accuracy = 100.000000, count = 3
{8_p, 0_n, 0_b, X_r, X_q}: accuracy = 52.083332, count = 12
{8_p, 0_n, 1_b, 0_r, 0_q}: accuracy = 22.916668, count = 6
{8_p, 0_n, 1_b, 0_r, X_q}: accuracy = 22.916668, count = 6
{8_p, 0_n, 1_b, X_r, 0_q}: accuracy = 22.916668, count = 6
{8_p, 0_n, 1_b, X_r, X_q}: accuracy = 22.916668, count = 6
{8_p, 0_n, 2_b, 4_r, 1_q}: accuracy = 100.000000, count = 2
{8_p, 0_n, 2_b, 4_r, X_q}: accuracy = 100.000000, count = 2
{8_p, 0_n, 2_b, X_r, 1_q}: accuracy = 100.000000, count = 2
{8_p, 0_n, 2_b, X_r, X_q}: accuracy = 100.000000, count = 2
{8_p, 0_n, X_b, 0_r, 0_q}: accuracy = 22.916668, count = 6
{8_p, 0_n, X_b, 0_r, X_q}: accuracy = 22.916668, count = 6
{8_p, 0_n, X_b, 2_r, 1_q}: accuracy = 27.083334, count = 6
{8_p, 0_n, X_b, 2_r, X_q}: accuracy = 27.083334, count = 6
{8_p, 0_n, X_b, 3_r, 2_q}: accuracy = 100.000000, count = 3
{8_p, 0_n, X_b, 3_r, X_q}: accuracy = 100.000000, count = 3
{8_p, 0_n, X_b, 4_r, 0_q}: accuracy = 54.166668, count = 3
{8_p, 0_n, X_b, 4_r, 1_q}: accuracy = 100.000000, count = 2
{8_p, 0_n, X_b, 4_r, X_q}: accuracy = 72.500000, count = 5
{8_p, 0_n, X_b, X_r, 0_q}: accuracy = 33.333336, count = 9
{8_p, 0_n, X_b, X_r, 1_q}: accuracy = 45.312500, count = 8
{8_p, 0_n, X_b, X_r, 2_q}: accuracy = 100.000000, count = 3
{8_p, 0_n, X_b, X_r, X_q}: accuracy = 48.125000, count = 20
{8_p, 1_n, 1_b, 4_r, 0_q}: accuracy = 37.500000, count = 2
{8_p, 1_n, 1_b, 4_r, X_q}: accuracy = 37.500000, count = 2
{8_p, 1_n, 1_b, X_r, 0_q}: accuracy = 37.500000, count = 2
{8_p, 1_n, 1_b, X_r, X_q}: accuracy = 37.500000, count = 2
{8_p, 1_n, X_b, 4_r, 0_q}: accuracy = 37.500000, count = 2
{8_p, 1_n, X_b, 4_r, X_q}: accuracy = 37.500000, count = 2
{8_p, 1_n, X_b, X_r, 0_q}: accuracy = 37.500000, count = 2
{8_p, 1_n, X_b, X_r, X_q}: accuracy = 37.500000, count = 2
{8_p, 2_n, 0_b, 0_r, 0_q}: accuracy = 61.250000, count = 10
{8_p, 2_n, 0_b, 0_r, X_q}: accuracy = 61.250000, count = 10
{8_p, 2_n, 0_b, 4_r, 2_q}: accuracy = 64.285713, count = 7
{8_p, 2_n, 0_b, 4_r, X_q}: accuracy = 64.285713, count = 7
{8_p, 2_n, 0_b, X_r, 0_q}: accuracy = 61.250000, count = 10
{8_p, 2_n, 0_b, X_r, 2_q}: accuracy = 64.285713, count = 7
{8_p, 2_n, 0_b, X_r, X_q}: accuracy = 62.500000, count = 17
{8_p, 2_n, X_b, 0_r, 0_q}: accuracy = 61.250000, count = 10
{8_p, 2_n, X_b, 0_r, X_q}: accuracy = 61.250000, count = 10
{8_p, 2_n, X_b, 4_r, 2_q}: accuracy = 64.285713, count = 7
{8_p, 2_n, X_b, 4_r, X_q}: accuracy = 64.285713, count = 7
{8_p, 2_n, X_b, X_r, 0_q}: accuracy = 61.250000, count = 10
{8_p, 2_n, X_b, X_r, 2_q}: accuracy = 64.285713, count = 7
{8_p, 2_n, X_b, X_r, X_q}: accuracy = 62.500000, count = 17
{8_p, X_n, 0_b, 0_r, 0_q}: accuracy = 61.250000, count = 10
{8_p, X_n, 0_b, 0_r, X_q}: accuracy = 61.250000, count = 10
{8_p, X_n, 0_b, 2_r, 1_q}: accuracy = 27.083334, count = 6
{8_p, X_n, 0_b, 2_r, X_q}: accuracy = 27.083334, count = 6
{8_p, X_n, 0_b, 3_r, 2_q}: accuracy = 100.000000, count = 3
{8_p, X_n, 0_b, 3_r, X_q}: accuracy = 100.000000, count = 3
{8_p, X_n, 0_b, 4_r, 0_q}: accuracy = 54.166668, count = 3
{8_p, X_n, 0_b, 4_r, 2_q}: accuracy = 64.285713, count = 7
{8_p, X_n, 0_b, 4_r, X_q}: accuracy = 61.250000, count = 10
{8_p, X_n, 0_b, X_r, 0_q}: accuracy = 59.615387, count = 13
{8_p, X_n, 0_b, X_r, 1_q}: accuracy = 27.083334, count = 6
{8_p, X_n, 0_b, X_r, 2_q}: accuracy = 75.000000, count = 10
{8_p, X_n, 0_b, X_r, X_q}: accuracy = 58.189655, count = 29
{8_p, X_n, 1_b, 0_r, 0_q}: accuracy = 22.916668, count = 6
{8_p, X_n, 1_b, 0_r, X_q}: accuracy = 22.916668, count = 6
{8_p, X_n, 1_b, 4_r, 0_q}: accuracy = 37.500000, count = 2
{8_p, X_n, 1_b, 4_r, X_q}: accuracy = 37.500000, count = 2
{8_p, X_n, 1_b, X_r, 0_q}: accuracy = 26.562500, count = 8
{8_p, X_n, 1_b, X_r, X_q}: accuracy = 26.562500, count = 8
{8_p, X_n, 2_b, 4_r, 1_q}: accuracy = 100.000000, count = 2
{8_p, X_n, 2_b, 4_r, X_q}: accuracy = 100.000000, count = 2
{8_p, X_n, 2_b, X_r, 1_q}: accuracy = 100.000000, count = 2
{8_p, X_n, 2_b, X_r, X_q}: accuracy = 100.000000, count = 2
{8_p, X_n, X_b, 0_r, 0_q}: accuracy = 46.875000, count = 16
{8_p, X_n, X_b, 0_r, X_q}: accuracy = 46.875000, count = 16
{8_p, X_n, X_b, 2_r, 1_q}: accuracy = 27.083334, count = 6
{8_p, X_n, X_b, 2_r, X_q}: accuracy = 27.083334, count = 6
{8_p, X_n, X_b, 3_r, 2_q}: accuracy = 100.000000, count = 3
{8_p, X_n, X_b, 3_r, X_q}: accuracy = 100.000000, count = 3
{8_p, X_n, X_b, 4_r, 0_q}: accuracy = 47.500000, count = 5
{8_p, X_n, X_b, 4_r, 1_q}: accuracy = 100.000000, count = 2
{8_p, X_n, X_b, 4_r, 2_q}: accuracy = 64.285713, count = 7
{8_p, X_n, X_b, 4_r, X_q}: accuracy = 63.392860, count = 14
{8_p, X_n, X_b, X_r, 0_q}: accuracy = 47.023808, count = 21
{8_p, X_n, X_b, X_r, 1_q}: accuracy = 45.312500, count = 8
{8_p, X_n, X_b, X_r, 2_q}: accuracy = 75.000000, count = 10
{8_p, X_n, X_b, X_r, X_q}: accuracy = 53.846157, count = 39
{9_p, 0_n, 1_b, 0_r, 0_q}: accuracy = 58.333332, count = 3
{9_p, 0_n, 1_b, 0_r, X_q}: accuracy = 58.333332, count = 3
{9_p, 0_n, 1_b, X_r, 0_q}: accuracy = 58.333332, count = 3
{9_p, 0_n, 1_b, X_r, X_q}: accuracy = 58.333332, count = 3
{9_p, 0_n, X_b, 0_r, 0_q}: accuracy = 58.333332, count = 3
{9_p, 0_n, X_b, 0_r, X_q}: accuracy = 58.333332, count = 3
{9_p, 0_n, X_b, X_r, 0_q}: accuracy = 58.333332, count = 3
{9_p, 0_n, X_b, X_r, X_q}: accuracy = 58.333332, count = 3
{9_p, 1_n, 1_b, 0_r, 0_q}: accuracy = 66.071426, count = 14
{9_p, 1_n, 1_b, 0_r, X_q}: accuracy = 66.071426, count = 14
{9_p, 1_n, 1_b, 4_r, 0_q}: accuracy = 12.500000, count = 2
{9_p, 1_n, 1_b, 4_r, X_q}: accuracy = 12.500000, count = 2
{9_p, 1_n, 1_b, X_r, 0_q}: accuracy = 59.375000, count = 16
{9_p, 1_n, 1_b, X_r, X_q}: accuracy = 59.375000, count = 16
